source_id,category,store_name,main_menu,price,road_address,district,latitude,longitude,image_url_1,image_url_2,image_url_3
45,ETC,착한커피공장,아메리카노,2000.0,서울특별시 종로구 자하문로7길 66 (누하동) 1층,종로구,37.5801973823904,126.969195225427,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/4e3a5659-6edd-4f5e-ad86-497826562e6e.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/50ae61a7-ce7a-44ed-a175-c16b9bdbbaf3.jpg,
46,KOREAN,창신숯불돼지갈비,돼지갈비정식,10000.0,서울특별시 종로구 종로 322-11 (창신동) 1층,종로구,37.571668378973,127.013613745385,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/229cd15a-c1e9-4eb3-94c2-5a7d78ff013c.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/664dcb23-0074-4702-bd79-5ea21963f0b1.jpg,
47,KOREAN,천만참숯구이,생목고기(200g),15000.0,서울특별시 종로구 지봉로 80 (숭인동) 1층,종로구,37.5772916913911,127.015603013294,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/e5e83ed9-e97a-4ad7-92bd-1db7e931c9dc.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/e486ca7b-b538-448e-93b2-eeca54852d0e.jpg,
48,KOREAN,청년밥상문간 슬로우점,-,,서울특별시 종로구 동숭3길 33 (동숭동) 지하1층,종로구,37.5825936339102,127.004512048282,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/52c57e36-c3fc-47f4-b824-0a2c04c0d72c.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/3d0de43d-78b0-43c3-a6c7-dfc87ca47d64.jpg,
49,KOREAN,청정바지락칼국수,칼국수,7000.0,서울특별시 종로구 창신길 11 1층,종로구,37.5722071295158,127.010524084538,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/36e43010-0833-431a-aa9c-d8ea28463604.png,,
50,KOREAN,체부동잔치집,잔치국수,5000.0,서울특별시 종로구 자하문로1길 16 (체부동) 1층,종로구,37.5765518168746,126.971493775769,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/595f5338-2b08-451b-9a30-15ca08724d7d.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/405ed7ea-558e-48ad-b587-f5faf595df34.jpg,
51,JAPANESE,카츠연,등심돈카츠정식,9500.0,서울특별시 종로구 삼봉로 81 (수송동) 지하1층 136호,종로구,37.5725639351805,126.981506298154,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/da26e4c5-99e3-4f19-b654-9edbb327b58a.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/a3078190-bd6d-483c-b7f8-594dcec440d8.jpg,
52,ETC,커피&분식,아메리카노(hot),2000.0,서울특별시 종로구 지봉로5길 25 (창신동) 1층,종로구,37.5750466306907,127.014607263976,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/b15516be-5f95-4dd2-965e-05991f8e4974.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/8bc272d8-441f-49a8-947c-c24ccc877bc3.jpg,
53,KOREAN,콩쥐팥쥐,돌솥비빔밥,8000.0,서울특별시 종로구 지봉로 84 (숭인동) 102호,종로구,37.5775729856373,127.015573977832,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/888dd863-e052-4632-aca7-cd84f44feff2.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/ea73d1de-1bbd-414d-b5cc-2c645d8d7943.jpg,
54,BAKERY,토리베이커리,막걸리식빵,4000.0,서울특별시 종로구 옥인길 30-3 (옥인동) 1층,종로구,37.5810719501489,126.96709240261,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/471e5859-03cc-4f98-8867-e5bfe6e16efa.jpeg,,
55,KOREAN,현궁,철판제육쌈밥,10000.0,서울특별시 종로구 종로1길 42 (수송동) 지하1층,종로구,37.5739029320481,126.978983502911,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/969e3c80-8787-4044-85f3-ce21a18ad744.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/f71b4343-39ab-44bd-a0b7-c8ac24331aa7.jpg,
56,KOREAN,홍순두부,홍순두부,5500.0,서울특별시 종로구 명륜길 50 1층,종로구,37.5892935619767,126.994629871047,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/62a0df0b-26d1-467c-9d1b-3014dd8f1b78.png,,
57,KOREAN,효자왕족발,보쌈정식(점심),9000.0,서울특별시 종로구 자하문로 31-2 (통인동) 1층,종로구,37.5788039794644,126.971276575353,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/38c735a6-df4f-401a-929c-7eb77b106d3b.jpeg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/31ae262a-743e-4ebd-bb7d-0d6942a4b5dd.jpeg,
58,KOREAN,흥진옥,뼈해장국,10000.0,서울특별시 종로구 종로5길 19-12 (청진동) 1층,종로구,37.5713987489389,126.980273412814,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/5b451c21-e933-4a44-aab2-1b61fa8d3410.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/b4d3607b-0a0d-4cc4-848b-7e1b82db61fa.jpg,
59,KOREAN,345국수,손수제비,8000.0,서울특별시 중구 청구로 83-9 1층,중구,37.5601687381546,127.013245400694,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/4f398043-d469-458b-9f12-2b7ca5a6f935.jpg,,
60,KOREAN,거목식당,된장찌개,7000.0,서울특별시 중구 을지로36길 18 (을지로5가),중구,37.5659767545803,127.001477572948,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/9b3d103f-075e-43e6-bf86-62ef230648ed.jpg,https://eatssu-bucket.s3.ap-northeast-2.amazonaws.com/goodPriceStoreImg/5eeb0f31-6520-41db-b61a-47b5b101e486.jpg,
